column,dtype,non_null_count,missing_count,missing_percent,unique_count,row_count
hn,int64,218772,0,0.0,13635,218772
vstdate,datetime64[us],218772,0,0.0,3433,218772
sex,int64,218772,0,0.0,2,218772
age,int64,218772,0,0.0,86,218772
height,float64,218529,243,0.11,52,218772
bw,float64,218546,226,0.1,2160,218772
bmi,float64,218359,413,0.19,17362,218772
smoke,int64,218772,0,0.0,4,218772
drinking,int64,218772,0,0.0,4,218772
bps,float64,191164,27608,12.62,156,218772
bpd,float64,191289,27483,12.56,110,218772
HDL,float64,64750,154022,70.4,476,218772
LDL,float64,63592,155180,70.93,983,218772
Triglyceride,float64,61284,157488,71.99,389,218772
Cholesterol,float64,65453,153319,70.08,298,218772
AF,int64,218772,0,0.0,3,218772
FBS,float64,56585,162187,74.14,243,218772
eGFR,float64,71925,146847,67.12,8066,218772
Creatinine,float64,76921,141851,64.84,595,218772
PrincipleDiagnosis,str,218770,2,0.0,1337,218772
ComorbidityDiagnosis,str,160014,58758,26.86,1115,218772
ตำบล,str,203545,15227,6.96,73,218772
ยาที่ได้รับ,str,178725,40047,18.31,157105,218772
heart_disease,int64,218772,0,0.0,2,218772
hypertension,int64,218772,0,0.0,2,218772
diabetes,int64,218772,0,0.0,2,218772
Statin,int64,218772,0,0.0,2,218772
Gemfibrozil,int64,218772,0,0.0,2,218772
TC:HDL_ratio,float64,63739,155033,70.87,9064,218772
Antihypertensive_flag,int64,218772,0,0.0,2,218772
stroke_flag,int64,218772,0,0.0,2,218772
