column,count,mean,std,min,25%,50%,75%,max,missing_count,missing_percent,unique_count
sex,218772.0,1.6271597827875597,0.48356122515947914,1.0,1.0,2.0,2.0,2.0,0,0.0,2
age,218772.0,62.78237617245351,13.05615462144559,18.0,54.0,63.0,72.0,103.0,0,0.0,86
height,218529.0,158.13552892293472,8.089371159570545,140.0,152.0,158.0,165.0,194.0,243,0.11,52
bw,218546.0,62.46391815556358,13.866788125735276,30.0,53.0,61.0,70.0,132.0,226,0.1,2160
bmi,218359.0,24.913374981353844,4.831747456180575,11.3865928649902,21.6441211700439,24.4646015167236,27.6888885498047,49.21875,413,0.19,17362
smoke,218772.0,1.0963971623425302,0.6302534225403049,0.0,1.0,1.0,1.0,3.0,0,0.0,4
drinking,218772.0,1.223991187172033,0.8282507663580774,0.0,1.0,1.0,1.0,3.0,0,0.0,4
bps,191164.0,134.50469230608275,16.36800691043283,60.0,124.0,133.0,142.0,218.0,27608,12.62,156
bpd,191289.0,76.6469059904124,11.492656112120985,20.0,69.0,76.0,84.0,134.0,27483,12.56,110
HDL,64750.0,53.831629189097285,14.146107957547303,8.0,44.0,52.0,62.0,125.0,154022,70.4,476
LDL,63592.0,113.71205985061717,37.15925882044125,-30.0,87.0,111.0,137.0,369.0,155180,70.93,983
Triglyceride,61284.0,136.20427354606338,58.07025691940175,1.0,92.0,125.0,170.0,427.0,157488,71.99,389
Cholesterol,65453.0,195.22697508130946,39.06414509762791,26.0,167.0,193.0,221.0,391.0,153319,70.08,298
AF,218772.0,0.8540718190627685,0.37729414644050974,0.0,1.0,1.0,1.0,2.0,0,0.0,3
FBS,56585.0,109.39910577010738,32.00228799729096,50.0,91.0,100.0,116.0,296.0,162187,74.14,243
eGFR,71925.0,75.70367688396634,25.07392454753409,1.0,59.189998626709,79.7300033569336,94.8499984741211,188.740005493164,146847,67.12,8066
Creatinine,76921.0,1.0113406085350902,0.5485414450367397,0.0799999982118607,0.720000028610229,0.879999995231628,1.10000002384186,6.59000015258789,141851,64.84,595
heart_disease,218772.0,0.028010897189768343,0.16500427654903604,0.0,0.0,0.0,0.0,1.0,0,0.0,2
hypertension,218772.0,0.7115490099281444,0.45304299418535476,0.0,0.0,1.0,1.0,1.0,0,0.0,2
diabetes,218772.0,0.3097288501270729,0.4623828141155617,0.0,0.0,0.0,1.0,1.0,0,0.0,2
Statin,218772.0,0.37496114676466824,0.4841139911869011,0.0,0.0,0.0,1.0,1.0,0,0.0,2
Gemfibrozil,218772.0,0.038249867441902986,0.19179933064204047,0.0,0.0,0.0,0.0,1.0,0,0.0,2
TC:HDL_ratio,63739.0,3.8495927806864843,1.190236576941028,0.604651162790698,3.0,3.65853658536585,4.515625,23.75,155033,70.87,9064
Antihypertensive_flag,218772.0,0.6235121496352367,0.48450575012926883,0.0,0.0,1.0,1.0,1.0,0,0.0,2
