column,q1,q3,iqr,lower_fence,upper_fence,low_outlier_count,high_outlier_count,total_outlier_count,outlier_percent_of_non_null
sex,1.0,2.0,1.0,-0.5,3.5,0,0,0,0.0
age,54.0,72.0,18.0,27.0,99.0,637,47,684,0.31
height,152.0,165.0,13.0,132.5,184.5,0,396,396,0.18
bw,53.0,70.0,17.0,27.5,95.5,0,4545,4545,2.08
bmi,21.6441211700439,27.6888885498047,6.044767379760803,12.576970100402695,36.75603961944591,69,4432,4501,2.06
smoke,1.0,1.0,0.0,1.0,1.0,24383,35933,60316,27.57
drinking,1.0,1.0,0.0,1.0,1.0,24421,41820,66241,30.28
bps,124.0,142.0,18.0,97.0,169.0,714,6080,6794,3.55
bpd,69.0,84.0,15.0,46.5,106.5,522,2501,3023,1.58
HDL,44.0,62.0,18.0,17.0,89.0,31,1219,1250,1.93
LDL,87.0,137.0,50.0,12.0,212.0,27,652,679,1.07
Triglyceride,92.0,170.0,78.0,-25.0,287.0,0,823,823,1.34
Cholesterol,167.0,221.0,54.0,86.0,302.0,42,163,205,0.31
AF,1.0,1.0,0.0,1.0,1.0,33863,1938,35801,16.36
FBS,91.0,116.0,25.0,53.5,153.5,1,4559,4560,8.06
eGFR,59.189998626709,94.8499984741211,35.659999847412095,5.699998855590856,148.33999824523923,275,7,282,0.39
Creatinine,0.720000028610229,1.10000002384186,0.37999999523163086,0.15000003576278276,1.6700000166893063,1,5177,5178,6.73
heart_disease,0.0,0.0,0.0,0.0,0.0,0,6128,6128,2.8
hypertension,0.0,1.0,1.0,-1.5,2.5,0,0,0,0.0
diabetes,0.0,1.0,1.0,-1.5,2.5,0,0,0,0.0
Statin,0.0,1.0,1.0,-1.5,2.5,0,0,0,0.0
Gemfibrozil,0.0,0.0,0.0,0.0,0.0,0,8368,8368,3.82
TC:HDL_ratio,3.0,4.515625,1.515625,0.7265625,6.7890625,1,1236,1237,1.94
Antihypertensive_flag,0.0,1.0,1.0,-1.5,2.5,0,0,0,0.0
stroke_flag,0.0,0.0,0.0,0.0,0.0,0,5170,5170,2.36
