model,fold,roc_auc,pr_auc,accuracy,precision,recall,f1
logistic_regression,1,0.7501714561700072,0.10767715783790081,0.7510548523206751,0.07623318385650224,0.6219512195121951,0.13581890812250333
logistic_regression,2,0.7481823737929348,0.15352271595373757,0.7340752110514198,0.07262569832402235,0.6419753086419753,0.13048933500627352
logistic_regression,3,0.7436205842806503,0.11640418685192527,0.7425172678434382,0.07492795389048991,0.6419753086419753,0.13419354838709677
logistic_regression,4,0.7448233712260115,0.08713312656979279,0.7210283960092095,0.07161803713527852,0.6666666666666666,0.12934131736526946
logistic_regression,5,0.7925485881921526,0.1144221159167674,0.7490406753645433,0.08052708638360176,0.6790123456790124,0.14397905759162305
random_forest,1,0.7786911374064236,0.12384706661208644,0.9685462217107786,0.0,0.0,0.0
random_forest,2,0.7475907590759076,0.09686834485625957,0.9685341519570223,0.0,0.0,0.0
random_forest,3,0.7974673022857841,0.12838642180862275,0.9689178818112049,0.0,0.0,0.0
random_forest,4,0.7344187752108544,0.1233997270022011,0.9689178818112049,0.0,0.0,0.0
random_forest,5,0.7714289206698448,0.14183006982574942,0.9689178818112049,0.0,0.0,0.0
xgboost,1,0.7873074136681961,0.1287301671592636,0.8373609512850019,0.0889423076923077,0.45121951219512196,0.14859437751004015
xgboost,2,0.7617455078841218,0.11652227873851508,0.8169608595548734,0.0975609756097561,0.5925925925925926,0.16753926701570682
xgboost,3,0.7927881677056594,0.13292466997074118,0.8215656178050652,0.0949367088607595,0.5555555555555556,0.16216216216216217
xgboost,4,0.7899474391883633,0.15983357408775112,0.8234842670759785,0.09594882729211088,0.5555555555555556,0.16363636363636364
xgboost,5,0.8248771543821048,0.16661839066546444,0.8384497313891021,0.10829493087557604,0.5802469135802469,0.1825242718446602
