column,missing_count,missing_percent
FBS,162187,0.7413517269120363
Triglyceride,157488,0.7198727442268663
LDL,155180,0.7093229480920776
TC:HDL_ratio,155033,0.7086510156692812
HDL,154022,0.704029766149233
Cholesterol,153319,0.7008163750388532
eGFR,146847,0.6712330645603642
Creatinine,141851,0.6483965041230139
ComorbidityDiagnosis,58758,0.26858098842630684
ยาที่ได้รับ,40047,0.18305359003894464
bps,27608,0.12619530835755946
bpd,27483,0.12562393724973944
ตำบล,15227,0.06960214287020276
bmi,413,0.0018878101402373248
height,243,0.0011107454336021063
bw,226,0.0010330389629385846
PrincipleDiagnosis,2,9.141937725120216e-06
hn,0,0.0
vstdate,0,0.0
sex,0,0.0
age,0,0.0
smoke,0,0.0
drinking,0,0.0
AF,0,0.0
heart_disease,0,0.0
hypertension,0,0.0
diabetes,0,0.0
Statin,0,0.0
Gemfibrozil,0,0.0
Antihypertensive_flag,0,0.0
